scheme,request_id,correct,plaintext_decision,encrypted_decision,encryption_time,decryption_time,total_time,cpu_start,cpu_end,ram_start,ram_end,ciphertext_size,payload_size
Paillier-baseline,16,True,inside,inside,3.5762786865234375e-06,0.0,95.34386110305786,1.4,27.6,120.5625,117.66796875,177,6599
Paillier-baseline,96,True,inside,inside,6.9141387939453125e-06,2.384185791015625e-07,96.04379796981812,3.5,26.0,121.921875,117.62109375,177,6599
Paillier-baseline,72,True,inside,inside,6.67572021484375e-06,2.384185791015625e-07,96.08984613418579,3.2,28.9,121.75,117.58984375,177,6599
Paillier-baseline,63,True,inside,inside,5.0067901611328125e-06,0.0,96.40328478813171,1.8,26.0,120.8515625,117.12890625,177,6599
Paillier-baseline,54,True,inside,inside,4.0531158447265625e-06,2.384185791015625e-07,99.35280728340149,1.6,32.0,120.93359375,117.09765625,177,6599
Paillier-baseline,57,True,inside,inside,7.62939453125e-06,2.384185791015625e-07,100.05753302574158,3.1,26.3,121.83984375,117.06640625,177,6599
Paillier-baseline,99,True,inside,inside,7.152557373046875e-06,2.384185791015625e-07,100.20731568336487,3.2,26.0,122.03515625,117.03515625,177,6599
Paillier-baseline,83,True,inside,inside,7.3909759521484375e-06,7.152557373046875e-07,100.27240562438965,3.1,30.6,122.0234375,116.30859375,177,6599
Paillier-baseline,67,True,inside,inside,5.4836273193359375e-06,2.384185791015625e-07,103.34431314468384,1.9,22.2,121.65625,116.27734375,177,6599
Paillier-baseline,78,True,inside,inside,9.059906005859375e-06,2.384185791015625e-07,103.9913866519928,3.2,14.1,121.78515625,116.24609375,177,6599
Paillier-baseline,88,True,inside,inside,1.0728836059570312e-05,7.152557373046875e-07,104.46393728256226,8.9,1.8,123.1015625,115.75390625,177,6599
Paillier-baseline,66,True,inside,inside,1.0251998901367188e-05,7.152557373046875e-07,104.47956109046936,1.6,0.0,121.0234375,115.7109375,177,6599
System,Runtime (s),Throughput (q/s),Latency (s/q),Accuracy,Precision,Recall,F1
Paillier-baseline,104.521,0.957,1.045,1.0,1.0,1.0,1.0
Paillier-baseline,2,True,inside,inside,1.1205673217773438e-05,2.384185791015625e-07,4.29940390586853,1.1,27.3,122.20703125,125.07421875,177,6598
Paillier-baseline,0,True,inside,inside,8.344650268554688e-06,0.0,4.504556179046631,1.1,20.8,122.19140625,125.05078125,177,6598
Paillier-baseline,6,True,inside,inside,4.0531158447265625e-06,4.76837158203125e-07,4.515877962112427,1.0,22.2,122.2265625,125.015625,177,6598
Paillier-baseline,3,True,inside,inside,6.4373016357421875e-06,2.384185791015625e-07,4.591232061386108,1.1,25.3,122.20703125,124.984375,177,6598
Paillier-baseline,5,True,inside,inside,9.5367431640625e-06,2.384185791015625e-07,8.517791271209717,1.0,27.9,122.21484375,124.95703125,177,6598
Paillier-baseline,1,True,inside,inside,1.0251998901367188e-05,2.384185791015625e-07,8.669636249542236,1.1,23.3,122.20703125,124.921875,177,6598
Paillier-baseline,4,True,inside,inside,1.0251998901367188e-05,2.384185791015625e-07,8.709004640579224,1.0,27.1,122.23828125,124.890625,177,6598
Paillier-baseline,8,True,inside,inside,6.4373016357421875e-06,0.0,9.125508069992065,1.0,26.0,122.2265625,124.859375,177,6598
Paillier-baseline,12,True,inside,inside,1.1205673217773438e-05,2.384185791015625e-07,12.610681056976318,0.9,28.6,122.296875,124.6875,177,6598
Paillier-baseline,13,True,inside,inside,6.9141387939453125e-06,0.0,13.041344165802002,0.9,24.0,122.28515625,124.65625,177,6598
Paillier-baseline,10,True,inside,inside,6.198883056640625e-06,0.0,13.30486536026001,0.9,24.3,122.27734375,124.62109375,177,6598
Paillier-baseline,29,True,inside,inside,1.0967254638671875e-05,2.384185791015625e-07,13.504351139068604,0.9,26.4,122.40234375,124.58984375,177,6598
Paillier-baseline,21,True,inside,inside,8.821487426757812e-06,4.76837158203125e-07,16.465033292770386,1.0,28.6,122.30859375,124.5390625,177,6598
Paillier-baseline,22,True,inside,inside,6.67572021484375e-06,2.384185791015625e-07,16.97701334953308,1.0,26.5,122.296875,124.5078125,177,6598
Paillier-baseline,25,True,inside,inside,1.0251998901367188e-05,0.0,17.159995317459106,0.9,29.3,122.33203125,124.47265625,177,6598
Paillier-baseline,17,True,inside,inside,1.8835067749023438e-05,2.384185791015625e-07,17.38148808479309,0.9,23.4,122.296875,124.44140625,177,6598
Paillier-baseline,53,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,20.56919550895691,2.3,26.9,122.58984375,124.40625,177,6598
Paillier-baseline,7,True,inside,inside,8.58306884765625e-06,0.0,21.309735774993896,0.9,24.0,122.28515625,124.375,177,6598
Paillier-baseline,61,True,inside,inside,7.3909759521484375e-06,7.152557373046875e-07,21.379584550857544,2.3,23.9,122.5390625,124.34375,177,6598
Paillier-baseline,9,True,inside,inside,1.0967254638671875e-05,2.384185791015625e-07,21.747071504592896,0.9,24.7,122.28515625,124.1328125,177,6598
Paillier-baseline,24,True,inside,inside,8.821487426757812e-06,2.384185791015625e-07,24.5213406085968,1.0,24.4,122.296875,124.1015625,177,6598
Paillier-baseline,16,True,inside,inside,8.821487426757812e-06,0.0,25.33240842819214,0.9,26.0,122.296875,124.0703125,177,6598
Paillier-baseline,30,True,inside,inside,1.3589859008789062e-05,2.384185791015625e-07,25.372686862945557,1.0,25.0,122.32421875,124.03515625,177,6598
Paillier-baseline,19,True,inside,inside,8.106231689453125e-06,2.384185791015625e-07,25.8485324382782,1.0,24.1,122.32421875,123.61328125,177,6598
Paillier-baseline,27,True,inside,inside,5.7220458984375e-06,2.384185791015625e-07,28.5599262714386,0.9,24.7,122.375,123.58203125,177,6598
Paillier-baseline,11,True,inside,inside,5.245208740234375e-06,2.384185791015625e-07,29.59797763824463,0.9,27.2,122.28125,123.55078125,177,6598
Paillier-baseline,15,True,inside,inside,6.198883056640625e-06,4.76837158203125e-07,29.823503017425537,0.9,27.8,122.32421875,123.51953125,177,6598
Paillier-baseline,88,True,inside,inside,5.9604644775390625e-06,4.76837158203125e-07,30.580368041992188,3.2,27.2,122.7109375,123.48828125,177,6598
Paillier-baseline,26,True,inside,inside,1.1920928955078125e-05,2.384185791015625e-07,32.67035269737244,0.9,25.3,122.41015625,123.453125,177,6598
Paillier-baseline,79,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,33.982465982437134,3.2,24.0,122.7421875,123.41796875,177,6598
Paillier-baseline,66,True,inside,inside,7.3909759521484375e-06,2.384185791015625e-07,34.027098417282104,2.3,27.3,122.6015625,123.3828125,177,6598
Paillier-baseline,18,True,inside,inside,5.9604644775390625e-06,2.384185791015625e-07,35.242067098617554,0.8,24.5,122.390625,123.3515625,177,6598
Paillier-baseline,42,True,inside,inside,4.5299530029296875e-06,2.384185791015625e-07,36.81690764427185,1.0,23.5,122.4765625,123.0390625,177,6598
Paillier-baseline,51,True,inside,inside,4.291534423828125e-06,2.384185791015625e-07,38.56629824638367,3.1,26.7,122.62109375,123.00390625,177,6598
Paillier-baseline,59,True,inside,inside,3.814697265625e-06,2.384185791015625e-07,38.577555894851685,2.3,27.6,122.58984375,122.97265625,177,6598
Paillier-baseline,64,True,inside,inside,9.775161743164062e-06,2.384185791015625e-07,39.1105694770813,1.7,26.3,122.52734375,122.94140625,177,6598
Paillier-baseline,23,True,inside,inside,1.0013580322265625e-05,2.384185791015625e-07,40.87852764129639,1.0,27.8,122.296875,122.91015625,177,6598
Paillier-baseline,93,True,inside,inside,3.814697265625e-06,0.0,42.71348285675049,2.7,26.0,122.62109375,122.87890625,177,6598
Paillier-baseline,90,True,inside,inside,4.291534423828125e-06,4.76837158203125e-07,42.801955223083496,3.2,28.0,122.7421875,122.84765625,177,6598
Paillier-baseline,41,True,inside,inside,1.1444091796875e-05,4.76837158203125e-07,43.51848602294922,1.8,22.9,122.515625,122.8125,177,6598
Paillier-baseline,14,True,inside,inside,4.76837158203125e-06,2.384185791015625e-07,45.28115677833557,0.9,27.1,122.28515625,122.78125,177,6598
Paillier-baseline,33,True,inside,inside,6.198883056640625e-06,7.152557373046875e-07,46.85979771614075,0.9,28.6,122.41015625,122.55859375,177,6598
Paillier-baseline,86,True,inside,inside,7.867813110351562e-06,2.384185791015625e-07,47.05802822113037,3.6,28.7,122.875,122.52734375,177,6598
Paillier-baseline,77,True,inside,inside,5.0067901611328125e-06,4.76837158203125e-07,47.89233589172363,3.2,30.9,122.6875,122.49609375,177,6598
Paillier-baseline,31,True,inside,inside,6.67572021484375e-06,2.384185791015625e-07,49.61283993721008,0.9,25.5,122.41015625,122.46484375,177,6598
Paillier-baseline,39,True,inside,inside,6.9141387939453125e-06,0.0,51.13431262969971,0.8,30.0,122.51171875,122.43359375,177,6598
Paillier-baseline,46,True,inside,inside,5.4836273193359375e-06,2.384185791015625e-07,51.548295736312866,2.3,23.8,122.58984375,122.40234375,177,6598
Paillier-baseline,72,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,52.336326122283936,1.8,30.9,122.6015625,122.3671875,177,6598
Paillier-baseline,44,True,inside,inside,1.4066696166992188e-05,2.384185791015625e-07,53.86021041870117,0.9,25.5,122.51171875,122.3359375,177,6598
Paillier-baseline,60,True,inside,inside,5.245208740234375e-06,2.384185791015625e-07,55.31381583213806,2.3,26.5,122.578125,122.3046875,177,6598
Paillier-baseline,85,True,inside,inside,6.198883056640625e-06,2.384185791015625e-07,55.740251302719116,2.7,28.1,122.6015625,122.26953125,177,6598
Paillier-baseline,36,True,inside,inside,5.0067901611328125e-06,0.0,56.707483530044556,3.2,26.5,122.67578125,122.234375,177,6598
Paillier-baseline,92,True,inside,inside,1.0013580322265625e-05,2.384185791015625e-07,58.253058195114136,4.5,25.8,123.171875,122.203125,177,6598
Paillier-baseline,70,True,inside,inside,5.0067901611328125e-06,2.384185791015625e-07,59.795862436294556,1.8,26.5,122.5390625,121.98828125,177,6598
Paillier-baseline,62,True,inside,inside,7.62939453125e-06,2.384185791015625e-07,60.4880256652832,2.5,26.3,122.52734375,121.95703125,177,6598
